,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,446.35,2024-07-01 09:15:00,NFO,04-JUL-2024,446.35,446.35,446.35,0,Options,Call,NIFTY,23650.0,0
1,446.35,2024-07-01 09:15:00,NFO,04-JUL-2024,446.35,446.35,446.35,0,Options,Call,NIFTY,23650.0,0
2,446.35,2024-07-01 09:15:01,NFO,04-JUL-2024,446.35,446.35,446.35,0,Options,Call,NIFTY,23650.0,0
3,419.85,2024-07-01 09:15:02,NFO,04-JUL-2024,419.85,419.85,419.85,71125,Options,Call,NIFTY,23650.0,0
4,432.7,2024-07-01 09:15:07,NFO,04-JUL-2024,432.7,432.7,432.7,71125,Options,Call,NIFTY,23650.0,0
5,415.1,2024-07-01 09:15:08,NFO,04-JUL-2024,415.1,415.1,415.1,71125,Options,Call,NIFTY,23650.0,150
6,418.6,2024-07-01 09:15:10,NFO,04-JUL-2024,418.6,418.6,418.6,71125,Options,Call,NIFTY,23650.0,50
7,427.55,2024-07-01 09:15:11,NFO,04-JUL-2024,427.55,427.55,427.55,71125,Options,Call,NIFTY,23650.0,0
8,422.7,2024-07-01 09:15:12,NFO,04-JUL-2024,422.7,422.7,422.7,71125,Options,Call,NIFTY,23650.0,0
9,422.7,2024-07-01 09:15:15,NFO,04-JUL-2024,422.7,422.7,422.7,71125,Options,Call,NIFTY,23650.0,50
10,422.7,2024-07-01 09:15:16,NFO,04-JUL-2024,422.7,422.7,422.7,71125,Options,Call,NIFTY,23650.0,0
11,422.7,2024-07-01 09:15:17,NFO,04-JUL-2024,422.7,422.7,422.7,71125,Options,Call,NIFTY,23650.0,0
12,421.0,2024-07-01 09:15:21,NFO,04-JUL-2024,421.0,421.0,421.0,71075,Options,Call,NIFTY,23650.0,0
13,416.75,2024-07-01 09:15:25,NFO,04-JUL-2024,416.75,416.75,416.75,71075,Options,Call,NIFTY,23650.0,0
14,410.15,2024-07-01 09:15:29,NFO,04-JUL-2024,410.15,410.15,410.15,71075,Options,Call,NIFTY,23650.0,0
15,410.15,2024-07-01 09:15:31,NFO,04-JUL-2024,410.15,410.15,410.15,71075,Options,Call,NIFTY,23650.0,1525
16,406.15,2024-07-01 09:15:35,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
17,406.15,2024-07-01 09:15:39,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,50
18,406.15,2024-07-01 09:15:42,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
19,406.15,2024-07-01 09:15:45,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
20,406.15,2024-07-01 09:15:46,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
21,406.15,2024-07-01 09:15:48,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
22,406.15,2024-07-01 09:15:51,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
23,406.15,2024-07-01 09:15:53,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
24,406.15,2024-07-01 09:15:56,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
25,406.15,2024-07-01 09:15:57,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
26,406.15,2024-07-01 09:15:59,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
27,406.15,2024-07-01 09:16:00,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
28,406.15,2024-07-01 09:16:01,NFO,04-JUL-2024,406.15,406.15,406.15,71075,Options,Call,NIFTY,23650.0,0
29,425.85,2024-07-01 09:16:02,NFO,04-JUL-2024,425.85,425.85,425.85,71075,Options,Call,NIFTY,23650.0,0
30,425.8,2024-07-01 09:16:03,NFO,04-JUL-2024,425.8,425.8,425.8,71075,Options,Call,NIFTY,23650.0,0
31,425.8,2024-07-01 09:16:07,NFO,04-JUL-2024,425.8,425.8,425.8,71075,Options,Call,NIFTY,23650.0,625
32,425.8,2024-07-01 09:16:10,NFO,04-JUL-2024,425.8,425.8,425.8,71075,Options,Call,NIFTY,23650.0,0
33,421.8,2024-07-01 09:16:11,NFO,04-JUL-2024,421.8,421.8,421.8,71075,Options,Call,NIFTY,23650.0,0
34,421.0,2024-07-01 09:16:14,NFO,04-JUL-2024,421.8,421.0,421.8,71075,Options,Call,NIFTY,23650.0,700
35,421.0,2024-07-01 09:16:15,NFO,04-JUL-2024,421.0,421.0,421.0,71075,Options,Call,NIFTY,23650.0,200
36,421.0,2024-07-01 09:16:17,NFO,04-JUL-2024,421.0,421.0,421.0,71075,Options,Call,NIFTY,23650.0,0
37,421.0,2024-07-01 09:16:18,NFO,04-JUL-2024,421.0,421.0,421.0,71075,Options,Call,NIFTY,23650.0,0
38,421.0,2024-07-01 09:16:22,NFO,04-JUL-2024,421.0,421.0,421.0,71075,Options,Call,NIFTY,23650.0,0
39,426.75,2024-07-01 09:16:24,NFO,04-JUL-2024,426.75,426.75,426.75,71075,Options,Call,NIFTY,23650.0,0
40,426.75,2024-07-01 09:16:25,NFO,04-JUL-2024,426.75,426.75,426.75,71075,Options,Call,NIFTY,23650.0,25
41,426.75,2024-07-01 09:16:27,NFO,04-JUL-2024,426.75,426.75,426.75,71075,Options,Call,NIFTY,23650.0,0
