time,price,volume
1719461503290,67.55,75
1719461504223,66.55,1250
1719461504497,66.75,25
1719461505227,67.65,75
1719461505715,67.4,25
1719461506241,67.05,150
1719461506885,66.65,150
1719461507220,66.9,200
1719461508120,67.95,75
1719461508417,67.2,25
1719461509239,67.1,75
1719461509710,66.85,375
1719461510234,66.9,25
1719461511290,66.8,200
1719461511425,66.95,50
1719461512239,67.65,25
1719461512520,67.2,25
1719461513241,67.0,50
1719461513941,67.05,25
1719461514246,67.9,225
1719461515236,66.85,75
1719461515314,66.9,50
1719461516242,68.65,25
1719461516532,68.9,25
1719461517245,67.8,25
1719461517936,67.6,75
1719461518239,66.75,50
1719461519249,66.25,25
1719461519510,66.45,50
1719461520087,67.1,25
1719461520426,66.7,250
1719461520731,66.85,25
1719461521237,66.8,175
1719461522129,66.1,25
1719461522227,66.15,50
1719461523250,66.4,100
1719461523534,65.7,25
1719461524251,63.9,125
1719461524714,64.4,75
1719461525448,64.6,125
1719461525947,64.3,100
1719461526258,63.95,75
1719461527249,62.9,125
1719461527553,62.35,100
1719461528243,62.85,50
1719461528754,62.6,200
1719461529255,62.85,25
1719461530154,63.15,25
1719461530460,63.2,125
1719461531244,63.25,25
1719461531544,63.0,25
1719461532261,63.35,25
1719461532541,63.35,50
1719461533258,63.55,25
1719461533956,63.75,25
1719461534246,63.6,125
1719461535342,63.6,125
1719461536244,63.65,25
1719461536562,63.6,50
1719461537249,63.5,25
1719461537761,63.7,25
1719461538247,63.75,25
1719461539255,63.55,25
1719461540347,63.1,25
1719461541264,62.55,75
1719461541580,62.45,50
1719461542211,62.65,25
1719461542564,62.25,100
1719461543441,61.5,150
1719461544248,61.35,25
1719461545264,61.0,75
1719461545970,60.1,25
1719461546273,59.6,50
1719461547272,61.05,150
1719461547564,61.05,25
1719461548450,61.3,50
1719461548992,62.15,25
1719461549270,62.0,50
1719461550078,61.9,50
1719461550175,62.0,25
1719461550270,61.8,50
1719461551287,61.9,25
1719461551387,61.7,25
1719461552262,62.0,50
1719461552586,62.1,25
1719461553265,61.75,250
1719461553779,61.5,325
1719461554274,62.0,25
1719461554973,62.7,25
1719461555264,62.35,25
1719461556381,62.3,50
1719461557251,62.35,400
1719461557397,62.55,25
1719461558262,62.65,200
1719461558597,62.55,25
1719461559255,62.75,25
1719461559563,62.5,25
1719461560259,62.25,25
1719461560782,62.65,25
1719461561252,62.65,25
1719461562001,62.2,25
1719461562250,62.1,25
1719461563279,60.55,25
1719461564453,60.65,100
1719461565267,60.2,25
1719461565578,60.25,100
1719461566263,60.6,150
1719461566766,60.25,25
1719461567278,60.05,50
1719461568002,60.2,50
1719461568284,60.2,300
1719461569265,60.5,50
1719461570272,59.95,50
1719461570413,60.05,50
1719461571257,60.5,25
1719461571798,61.3,75
1719461572268,61.3,100
1719461573273,60.75,25
1719461573411,60.85,75
1719461574266,61.15,50
1719461575026,61.2,50
1719461575264,61.15,25
1719461576260,62.0,25
1719461576618,62.25,25
1719461577253,62.45,75
1719461578004,62.7,175
1719461578265,62.55,25
1719461579284,62.55,25
1719461580097,62.5,25
1719461580472,62.35,175
1719461580626,62.15,100
1719461581274,62.15,25
1719461581840,62.35,50
1719461582256,62.25,50
1719461583036,62.85,25
1719461583279,63.1,25
1719461584270,63.1,25
1719461585276,62.2,25
1719461585624,61.55,25
1719461586273,61.6,25
1719461586845,61.8,25
1719461587274,61.7,25
1719461588047,61.6,25
1719461588480,61.55,25
1719461589276,61.8,25
1719461589639,61.75,150
1719461590279,61.05,25
1719461590847,60.9,300
1719461591262,60.55,25
1719461592253,60.4,25
1719461592268,60.35,75
1719461593285,60.4,50
1719461593647,60.45,25
1719461594270,61.3,25
1719461594638,61.45,25
1719461595280,61.4,25
1719461595858,61.5,150
1719461596279,62.35,25
1719461597290,62.05,50
1719461598280,62.45,25
1719461598645,62.55,25
1719461599286,62.7,75
1719461599667,62.95,25
1719461600298,62.85,25
1719461601076,62.55,25
1719461601273,62.9,75
1719461605675,62.7,25
1719461606301,62.8,300
1719461607074,62.2,200
1719461607296,62.25,50
1719461608286,61.15,50
1719461609280,61.75,25
1719461609466,61.95,25
1719461610098,62.05,50
1719461610305,61.7,175
1719461610643,61.55,25
1719461611287,62.25,250
1719461612295,62.3,25
1719461613289,62.1,50
1719461613490,61.9,200
1719461614293,62.05,25
1719461614667,61.85,50
1719461615284,61.7,50
1719461615683,61.3,50
1719461616302,61.85,125
1719461617038,61.55,50
1719461617284,61.55,50
1719461618286,60.85,25
1719461618450,60.85,300
1719461619296,61.65,50
1719461619401,61.75,300
1719461620299,61.65,50
1719461620490,61.6,25
1719461621306,62.6,25
