,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,18.0,2024-06-27 09:15:00,NFO,04-JUL-2024,18.0,18.0,18.0,1013550,Options,Call,NIFTY,24500.0,0
1,18.0,2024-06-27 09:15:00,NFO,04-JUL-2024,18.0,18.0,18.0,1013550,Options,Call,NIFTY,24500.0,0
2,16.0,2024-06-27 09:15:01,NFO,04-JUL-2024,16.0,16.0,16.0,1013550,Options,Call,NIFTY,24500.0,700
3,17.0,2024-06-27 09:15:02,NFO,04-JUL-2024,17.0,17.0,17.0,1013550,Options,Call,NIFTY,24500.0,0
4,14.5,2024-06-27 09:15:03,NFO,04-JUL-2024,14.5,14.5,14.5,1013550,Options,Call,NIFTY,24500.0,425
5,16.3,2024-06-27 09:15:04,NFO,04-JUL-2024,17.0,16.3,17.0,1013550,Options,Call,NIFTY,24500.0,2050
6,15.0,2024-06-27 09:15:05,NFO,04-JUL-2024,15.0,15.0,15.0,1013550,Options,Call,NIFTY,24500.0,0
7,14.7,2024-06-27 09:15:07,NFO,04-JUL-2024,14.7,14.7,14.7,1013550,Options,Call,NIFTY,24500.0,0
8,14.75,2024-06-27 09:15:08,NFO,04-JUL-2024,14.75,14.75,14.75,1013550,Options,Call,NIFTY,24500.0,0
9,15.5,2024-06-27 09:15:09,NFO,04-JUL-2024,15.5,15.5,15.5,1013550,Options,Call,NIFTY,24500.0,0
10,15.05,2024-06-27 09:15:11,NFO,04-JUL-2024,15.2,15.05,15.2,1013550,Options,Call,NIFTY,24500.0,4625
11,15.25,2024-06-27 09:15:12,NFO,04-JUL-2024,15.25,15.25,15.25,1013550,Options,Call,NIFTY,24500.0,0
12,15.05,2024-06-27 09:15:13,NFO,04-JUL-2024,15.05,15.05,15.05,1013550,Options,Call,NIFTY,24500.0,0
13,14.0,2024-06-27 09:15:14,NFO,04-JUL-2024,14.25,14.0,14.25,1013550,Options,Call,NIFTY,24500.0,5425
14,14.5,2024-06-27 09:15:15,NFO,04-JUL-2024,14.5,14.5,14.5,1013550,Options,Call,NIFTY,24500.0,0
15,14.2,2024-06-27 09:15:16,NFO,04-JUL-2024,14.5,14.2,14.5,1013550,Options,Call,NIFTY,24500.0,25
16,14.05,2024-06-27 09:15:17,NFO,04-JUL-2024,14.05,14.05,14.05,1013550,Options,Call,NIFTY,24500.0,0
17,13.9,2024-06-27 09:15:18,NFO,04-JUL-2024,13.9,13.9,13.9,1013550,Options,Call,NIFTY,24500.0,1800
18,13.7,2024-06-27 09:15:19,NFO,04-JUL-2024,13.7,13.7,13.7,1013550,Options,Call,NIFTY,24500.0,0
19,13.7,2024-06-27 09:15:21,NFO,04-JUL-2024,13.7,13.7,13.7,1013550,Options,Call,NIFTY,24500.0,575
20,13.5,2024-06-27 09:15:22,NFO,04-JUL-2024,13.5,13.5,13.5,1013550,Options,Call,NIFTY,24500.0,0
21,14.0,2024-06-27 09:15:23,NFO,04-JUL-2024,14.0,13.5,13.5,1013550,Options,Call,NIFTY,24500.0,2100
22,13.4,2024-06-27 09:15:24,NFO,04-JUL-2024,13.4,13.4,13.4,1013550,Options,Call,NIFTY,24500.0,2850
23,13.45,2024-06-27 09:15:25,NFO,04-JUL-2024,13.45,13.45,13.45,1013550,Options,Call,NIFTY,24500.0,0
24,13.65,2024-06-27 09:15:26,NFO,04-JUL-2024,13.65,13.65,13.65,1013550,Options,Call,NIFTY,24500.0,2200
25,13.55,2024-06-27 09:15:27,NFO,04-JUL-2024,13.55,13.55,13.55,1013550,Options,Call,NIFTY,24500.0,3600
26,13.9,2024-06-27 09:15:28,NFO,04-JUL-2024,13.9,13.9,13.9,1013550,Options,Call,NIFTY,24500.0,0
27,13.95,2024-06-27 09:15:29,NFO,04-JUL-2024,13.95,13.95,13.95,1013550,Options,Call,NIFTY,24500.0,2625
28,13.85,2024-06-27 09:15:30,NFO,04-JUL-2024,13.85,13.85,13.85,1013550,Options,Call,NIFTY,24500.0,0
29,13.8,2024-06-27 09:15:31,NFO,04-JUL-2024,13.8,13.8,13.8,1013550,Options,Call,NIFTY,24500.0,550
30,13.95,2024-06-27 09:15:32,NFO,04-JUL-2024,13.95,13.95,13.95,1013550,Options,Call,NIFTY,24500.0,325
31,13.85,2024-06-27 09:15:33,NFO,04-JUL-2024,13.85,13.85,13.85,1026725,Options,Call,NIFTY,24500.0,0
32,13.55,2024-06-27 09:15:34,NFO,04-JUL-2024,13.55,13.55,13.55,1026725,Options,Call,NIFTY,24500.0,0
33,13.85,2024-06-27 09:15:36,NFO,04-JUL-2024,13.85,13.45,13.45,1026725,Options,Call,NIFTY,24500.0,4350
34,13.9,2024-06-27 09:15:37,NFO,04-JUL-2024,13.9,13.9,13.9,1026725,Options,Call,NIFTY,24500.0,2000
35,13.9,2024-06-27 09:15:38,NFO,04-JUL-2024,13.9,13.9,13.9,1026725,Options,Call,NIFTY,24500.0,0
36,13.85,2024-06-27 09:15:39,NFO,04-JUL-2024,13.85,13.85,13.85,1026725,Options,Call,NIFTY,24500.0,0
37,13.8,2024-06-27 09:15:40,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,0
38,13.85,2024-06-27 09:15:41,NFO,04-JUL-2024,13.85,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,5400
39,13.9,2024-06-27 09:15:42,NFO,04-JUL-2024,13.9,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,3675
40,14.0,2024-06-27 09:15:43,NFO,04-JUL-2024,14.0,14.0,14.0,1026725,Options,Call,NIFTY,24500.0,0
41,14.0,2024-06-27 09:15:46,NFO,04-JUL-2024,14.0,14.0,14.0,1026725,Options,Call,NIFTY,24500.0,450
42,14.0,2024-06-27 09:15:47,NFO,04-JUL-2024,14.0,14.0,14.0,1026725,Options,Call,NIFTY,24500.0,50
43,14.0,2024-06-27 09:15:48,NFO,04-JUL-2024,14.0,14.0,14.0,1026725,Options,Call,NIFTY,24500.0,0
44,13.8,2024-06-27 09:15:49,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,2425
45,14.0,2024-06-27 09:15:50,NFO,04-JUL-2024,14.0,14.0,14.0,1026725,Options,Call,NIFTY,24500.0,0
46,13.65,2024-06-27 09:15:51,NFO,04-JUL-2024,13.65,13.65,13.65,1026725,Options,Call,NIFTY,24500.0,5025
47,13.8,2024-06-27 09:15:52,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,2200
48,13.8,2024-06-27 09:15:53,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,0
49,13.8,2024-06-27 09:15:54,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,0
50,13.8,2024-06-27 09:15:55,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,0
51,14.1,2024-06-27 09:15:56,NFO,04-JUL-2024,14.1,14.1,14.1,1026725,Options,Call,NIFTY,24500.0,0
52,14.05,2024-06-27 09:15:58,NFO,04-JUL-2024,14.05,14.05,14.05,1026725,Options,Call,NIFTY,24500.0,3925
53,14.15,2024-06-27 09:15:59,NFO,04-JUL-2024,14.15,14.15,14.15,1026725,Options,Call,NIFTY,24500.0,0
54,13.8,2024-06-27 09:16:01,NFO,04-JUL-2024,13.8,13.8,13.8,1026725,Options,Call,NIFTY,24500.0,0
55,13.9,2024-06-27 09:16:03,NFO,04-JUL-2024,13.9,13.9,13.9,1026725,Options,Call,NIFTY,24500.0,4000
