0,1,2
150,Shriram Finance Limited,SHRIRAMFIN
151,Siemens Limited,SIEMENS
152,State Bank of India,SBIN
153,Steel Authority of India Limited,SAIL
154,Sun Pharmaceutical Industries Limited,SUNPHARMA
155,Sun TV Network Limited,SUNTV
156,Syngene International Limited,SYNGENE
157,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
158,TVS Motor Company Limited,TVSMOTOR
159,Tata Chemicals Limited,TATACHEM
160,Tata Communications Limited,TATACOMM
161,Tata Consultancy Services Limited,TCS
162,Tata Motors Limited,TATAMOTORS
163,Tata Power Company Limited,TATAPOWER
164,Tata Steel Limited,TATASTEEL
165,Tech Mahindra Limited,TECHM
166,The Federal Bank Limited,FEDERALBNK
167,The India Cements Limited,INDIACEM
168,The Indian Hotels Company Limited,INDHOTEL
169,The Ramco Cements Limited,RAMCOCEM
170,Titan Company Limited,TITAN
171,Torrent Pharmaceuticals Limited,TORNTPHARM
172,Trent Limited,TRENT
173,UPL Limited,UPL
174,UltraTech Cement Limited,ULTRACEMCO
175,United Breweries Limited,UBL
176,United Spirits Limited,MCDOWELL-N
177,Vedanta Limited,VEDL
178,Vodafone Idea Limited,IDEA
179,Voltas Limited,VOLTAS
180,Wipro Limited,WIPRO
181,Zee Entertainment Enterprises Limited,ZEEL
182,Zydus Lifesciences Limited,ZYDUSLIFE
