Close,datetime,exchange_code,High,Low,Open,stock_code,Volume
2502.45,2024-05-08 09:07:15,NSE,2502.45,2502.45,2502.45,NESIND,0
2502.6,2024-05-08 09:15:02,NSE,2502.6,2502.6,2502.6,NESIND,1314
2517.95,2024-05-08 09:15:13,NSE,2517.95,2517.95,2517.95,NESIND,3382
2514.95,2024-05-08 09:15:23,NSE,2514.95,2514.95,2514.95,NESIND,5661
2516.4,2024-05-08 09:15:33,NSE,2516.4,2516.4,2516.4,NESIND,4991
2515.8,2024-05-08 09:15:42,NSE,2515.8,2515.8,2515.8,NESIND,2970
2515.75,2024-05-08 09:15:51,NSE,2515.75,2515.75,2515.75,NESIND,1883
2511.7,2024-05-08 09:16:00,NSE,2511.7,2511.7,2511.7,NESIND,1591
2503.15,2024-05-08 09:16:08,NSE,2503.15,2503.15,2503.15,NESIND,1769
2502.45,2024-05-08 09:16:14,NSE,2502.45,2502.45,2502.45,NESIND,1461
2502.05,2024-05-08 09:16:15,NSE,2502.05,2502.05,2502.05,NESIND,196
2500.4,2024-05-08 09:16:16,NSE,2500.4,2500.4,2500.4,NESIND,32
2500.1,2024-05-08 09:16:17,NSE,2500.1,2500.1,2500.1,NESIND,1
2500.1,2024-05-08 09:16:18,NSE,2500.1,2500.1,2500.1,NESIND,395
2500.0,2024-05-08 09:16:19,NSE,2500.0,2500.0,2500.0,NESIND,100
2500.1,2024-05-08 09:16:20,NSE,2500.1,2500.1,2500.1,NESIND,101
2499.7,2024-05-08 09:16:21,NSE,2499.7,2499.7,2499.7,NESIND,85
2498.25,2024-05-08 09:16:22,NSE,2498.25,2498.25,2498.25,NESIND,22
2494.85,2024-05-08 09:16:23,NSE,2494.85,2494.85,2494.85,NESIND,210
2493.35,2024-05-08 09:16:24,NSE,2493.35,2493.35,2493.35,NESIND,74
2492.05,2024-05-08 09:16:25,NSE,2492.05,2492.05,2492.05,NESIND,77
2492.05,2024-05-08 09:16:26,NSE,2492.05,2492.05,2492.05,NESIND,16
2493.8,2024-05-08 09:16:27,NSE,2493.8,2493.8,2493.8,NESIND,432
2496.45,2024-05-08 09:16:28,NSE,2496.45,2496.45,2496.45,NESIND,10
2491.3,2024-05-08 09:16:29,NSE,2491.3,2491.3,2491.3,NESIND,324
2493.75,2024-05-08 09:16:30,NSE,2493.75,2493.75,2493.75,NESIND,10
2491.4,2024-05-08 09:16:31,NSE,2491.4,2491.4,2491.4,NESIND,2
2491.35,2024-05-08 09:16:32,NSE,2491.35,2491.35,2491.35,NESIND,11
2495.1,2024-05-08 09:16:33,NSE,2495.1,2495.1,2495.1,NESIND,443
2497.5,2024-05-08 09:16:34,NSE,2497.5,2497.5,2497.5,NESIND,555
2495.25,2024-05-08 09:16:35,NSE,2495.25,2495.25,2495.25,NESIND,6
2495.25,2024-05-08 09:16:36,NSE,2495.25,2495.25,2495.25,NESIND,7
2495.3,2024-05-08 09:16:37,NSE,2495.3,2495.3,2495.3,NESIND,58
