,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,5.75,2024-06-26 09:15:00,NFO,27-JUN-2024,5.75,5.4,5.6,4655900,Options,Call,NIFTY,24100.0,5325
1,5.75,2024-06-26 09:15:00,NFO,27-JUN-2024,5.75,5.4,5.6,4655900,Options,Call,NIFTY,24100.0,5325
2,5.85,2024-06-26 09:15:01,NFO,27-JUN-2024,5.85,5.85,5.85,4655900,Options,Call,NIFTY,24100.0,0
3,5.5,2024-06-26 09:15:02,NFO,27-JUN-2024,5.5,5.5,5.5,4655900,Options,Call,NIFTY,24100.0,38675
4,5.9,2024-06-26 09:15:03,NFO,27-JUN-2024,5.9,5.9,5.9,4655900,Options,Call,NIFTY,24100.0,0
5,5.75,2024-06-26 09:15:04,NFO,27-JUN-2024,5.75,5.75,5.75,4655900,Options,Call,NIFTY,24100.0,0
6,5.9,2024-06-26 09:15:05,NFO,27-JUN-2024,5.95,5.9,5.95,4655900,Options,Call,NIFTY,24100.0,51775
7,6.35,2024-06-26 09:15:06,NFO,27-JUN-2024,6.35,6.35,6.35,4655900,Options,Call,NIFTY,24100.0,13850
8,6.25,2024-06-26 09:15:07,NFO,27-JUN-2024,6.3,6.25,6.3,4655900,Options,Call,NIFTY,24100.0,0
9,6.45,2024-06-26 09:15:08,NFO,27-JUN-2024,6.45,6.45,6.45,4655900,Options,Call,NIFTY,24100.0,0
10,6.5,2024-06-26 09:15:09,NFO,27-JUN-2024,6.5,6.5,6.5,4655900,Options,Call,NIFTY,24100.0,0
11,6.35,2024-06-26 09:15:10,NFO,27-JUN-2024,6.35,6.35,6.35,4655900,Options,Call,NIFTY,24100.0,0
12,6.45,2024-06-26 09:15:12,NFO,27-JUN-2024,6.45,6.45,6.45,4655900,Options,Call,NIFTY,24100.0,0
13,6.5,2024-06-26 09:15:13,NFO,27-JUN-2024,6.5,6.45,6.45,4655900,Options,Call,NIFTY,24100.0,101375
14,6.5,2024-06-26 09:15:14,NFO,27-JUN-2024,6.5,6.5,6.5,4655900,Options,Call,NIFTY,24100.0,15450
15,6.75,2024-06-26 09:15:15,NFO,27-JUN-2024,6.75,6.75,6.75,4655900,Options,Call,NIFTY,24100.0,0
16,6.65,2024-06-26 09:15:16,NFO,27-JUN-2024,6.65,6.65,6.65,4655900,Options,Call,NIFTY,24100.0,36250
17,6.7,2024-06-26 09:15:17,NFO,27-JUN-2024,6.7,6.7,6.7,4655900,Options,Call,NIFTY,24100.0,0
18,6.8,2024-06-26 09:15:18,NFO,27-JUN-2024,6.8,6.65,6.65,4655900,Options,Call,NIFTY,24100.0,31750
19,6.4,2024-06-26 09:15:21,NFO,27-JUN-2024,6.45,6.4,6.45,4655900,Options,Call,NIFTY,24100.0,37750
20,6.3,2024-06-26 09:15:24,NFO,27-JUN-2024,6.3,6.3,6.3,4655900,Options,Call,NIFTY,24100.0,0
21,6.1,2024-06-26 09:15:25,NFO,27-JUN-2024,6.1,6.1,6.1,4655900,Options,Call,NIFTY,24100.0,26700
22,5.95,2024-06-26 09:15:26,NFO,27-JUN-2024,5.95,5.95,5.95,4655900,Options,Call,NIFTY,24100.0,20925
23,6.15,2024-06-26 09:15:30,NFO,27-JUN-2024,6.15,6.15,6.15,4655900,Options,Call,NIFTY,24100.0,36725
24,5.95,2024-06-26 09:15:31,NFO,27-JUN-2024,5.95,5.95,5.95,4655900,Options,Call,NIFTY,24100.0,15475
25,6.05,2024-06-26 09:15:33,NFO,27-JUN-2024,6.05,6.05,6.05,4655900,Options,Call,NIFTY,24100.0,30400
26,6.0,2024-06-26 09:15:35,NFO,27-JUN-2024,6.0,6.0,6.0,4655900,Options,Call,NIFTY,24100.0,16175
27,5.8,2024-06-26 09:15:39,NFO,27-JUN-2024,5.8,5.8,5.8,4655900,Options,Call,NIFTY,24100.0,23225
28,5.75,2024-06-26 09:15:40,NFO,27-JUN-2024,5.75,5.75,5.75,4597375,Options,Call,NIFTY,24100.0,0
29,6.1,2024-06-26 09:15:42,NFO,27-JUN-2024,6.1,6.1,6.1,4597375,Options,Call,NIFTY,24100.0,52525
30,5.95,2024-06-26 09:15:45,NFO,27-JUN-2024,5.95,5.95,5.95,4597375,Options,Call,NIFTY,24100.0,22350
31,5.9,2024-06-26 09:15:46,NFO,27-JUN-2024,5.9,5.9,5.9,4597375,Options,Call,NIFTY,24100.0,5500
32,5.6,2024-06-26 09:15:49,NFO,27-JUN-2024,5.6,5.6,5.6,4597375,Options,Call,NIFTY,24100.0,0
33,5.75,2024-06-26 09:15:50,NFO,27-JUN-2024,5.75,5.7,5.7,4597375,Options,Call,NIFTY,24100.0,20975
34,5.75,2024-06-26 09:15:51,NFO,27-JUN-2024,5.75,5.75,5.75,4597375,Options,Call,NIFTY,24100.0,5400
35,5.6,2024-06-26 09:15:54,NFO,27-JUN-2024,5.6,5.6,5.6,4597375,Options,Call,NIFTY,24100.0,6825
36,5.8,2024-06-26 09:15:55,NFO,27-JUN-2024,5.8,5.8,5.8,4597375,Options,Call,NIFTY,24100.0,5575
37,5.75,2024-06-26 09:15:57,NFO,27-JUN-2024,5.75,5.75,5.75,4597375,Options,Call,NIFTY,24100.0,16575
