datetime,ltp,qty
1718345773020,94.05,25
1718345773667,94.2,25
1718345773900,94.2,150
1718345774711,93.95,25
1718345775047,93.7,25
1718345776023,94.0,150
1718345776647,94.0,25
1718345777068,93.85,75
1718345777823,93.9,50
1718345777878,93.9,100
1718345778416,94.0,25
1718345779862,93.75,200
1718345780660,93.65,50
1718345781164,93.45,25
1718345781632,93.4,25
1718345781930,93.55,25
1718345782944,93.7,275
1718345783823,93.45,50
1718345784772,93.6,25
1718345785752,93.45,150
1718345785752,93.45,150
1718345786478,93.8,25
1718345786478,93.8,25
1718345787804,93.4,25
1718345788053,93.6,50
1718345788474,93.65,25
1718345789990,93.85,100
1718345789990,93.85,100
1718345790790,93.55,25
1718345790790,93.55,25
1718345791420,93.55,50
1718345791420,93.55,50
1718345792772,93.5,25
1718345792772,93.5,25
1718345793671,93.3,25
1718345793990,93.45,25
1718345794856,93.65,275
1718345794856,93.65,275
1718345796005,93.5,25
1718345796763,93.55,25
1718345796763,93.55,25
1718345797733,93.5,50
1718345797971,93.35,25
1718345798884,93.35,25
1718345798884,93.35,25
1718345799660,93.35,50
1718345801054,93.65,1275
1718345801262,93.65,25
1718345801588,93.5,75
1718345802762,93.55,75
1718345803108,93.55,25
1718345803864,93.65,100
1718345803864,93.65,100
1718345804113,93.65,25
1718345805006,93.4,75
1718345806042,93.5,25
1718345806042,93.5,25
1718345806663,93.55,25
1718345807971,93.65,25
1718345808220,93.55,75
1718345808543,93.4,50
1718345808960,93.35,25
1718345809827,93.35,25
1718345809827,93.35,25
1718345811066,93.2,25
1718345811552,93.25,25
1718345811552,93.25,25
1718345812717,93.3,75
1718345812717,93.3,75
1718345813801,93.35,25
1718345814038,93.3,75
1718345814532,93.3,25
1718345814960,93.3,75
1718345816047,93.4,25
1718345816884,93.2,50
1718345816884,93.2,50
1718345817855,93.2,50
1718345817855,93.2,50
1718345818719,93.3,25
1718345818719,93.3,25
1718345819530,93.1,25
1718345819924,93.2,25
1718345820557,93.2,25
1718345821037,93.1,25
1718345821871,93.0,25
1718345823040,93.25,275
1718345823181,93.3,25
1718345823640,93.85,25
1718345824044,93.85,25
1718345824814,93.5,50
1718345824814,93.5,50
1718345826053,93.95,25
1718345826816,94.05,150
1718345827184,94.05,25
1718345827923,94.05,75
1718345828076,93.75,75
1718345829092,93.6,300
1718345829993,93.5,25
1718345830132,93.6,25
1718345830835,93.35,25
1718345831192,93.35,25
1718345831362,93.4,25
1718345831362,93.4,25
1718345832826,93.55,25
1718345833930,92.8,100
1718345833930,92.8,100
1718345835011,92.85,25
1718345836077,92.8,200
1718345836077,92.8,200
1718345836231,92.75,850
1718345837010,93.05,400
1718345838000,93.05,50
1718345838000,93.05,50
1718345838866,92.9,25
1718345838866,92.9,25
1718345839901,93.05,75
1718345839901,93.05,75
1718345840894,93.05,25
1718345841082,92.95,150
1718345842112,92.5,275
1718345843051,92.65,125
1718345843051,92.65,125
1718345843997,92.5,25
1718345844178,92.5,350
1718345844864,92.35,50
1718345845094,92.4,25
1718345846084,92.55,100
1718345846084,92.55,100
1718345847042,92.8,25
1718345847993,92.9,100
1718345848722,93.15,150
1718345849345,93.2,25
1718345849762,92.95,50
1718345849762,92.95,50
1718345850951,93.15,25
1718345851002,93.15,500
1718345852044,92.85,25
1718345852138,92.85,25
1718345853025,92.8,25
1718345854058,92.6,450
1718345854303,92.75,25
1718345854889,92.45,200
1718345854889,92.45,200
1718345856153,91.85,75
1718345856664,91.55,25
1718345857971,91.95,900
1718345858358,91.95,100
1718345858901,91.45,25
1718345859043,91.4,75
1718345859889,91.8,25
1718345860040,91.6,200
1718345860975,91.2,25
1718345861108,91.05,75
1718345861961,91.3,25
1718345861961,91.3,25
1718345862965,91.45,25
1718345862965,91.45,25
1718345863889,91.45,25
1718345864164,91.65,550
1718345865107,91.7,400
1718345866084,91.95,25
1718345866254,92.1,25
1718345866903,92.2,25
1718345866903,92.2,25
1718345867806,92.0,25
1718345867806,92.0,25
1718345868961,92.1,150
1718345869084,91.9,150
1718345869973,91.9,25
1718345869973,91.9,25
1718345870938,92.05,25
1718345870938,92.05,25
1718345871444,92.0,50
1718345871444,92.0,50
1718345872916,92.0,25
1718345872916,92.0,25
1718345874117,91.8,75
1718345874117,91.8,75
1718345874852,91.6,25
1718345876037,91.5,50
1718345876379,91.6,150
1718345876848,91.6,25
1718345876848,91.6,25
1718345877753,91.65,25
1718345878048,91.8,25
1718345879015,91.3,25
1718345879823,91.5,25
1718345880084,91.55,300
1718345881134,91.75,25
1718345881815,91.7,100
1718345882178,91.6,25
1718345882892,91.95,50
1718345883089,91.8,25
1718345884207,91.5,25
1718345885074,91.0,50
1718345885195,91.05,100
1718345886080,90.8,25
1718345886116,90.8,25
1718345887183,91.05,100
1718345887978,90.85,250
1718345888394,90.65,125
1718345888949,90.55,25
1718345889074,90.75,200
1718345889951,90.45,25
1718345889951,90.45,25
1718345891058,90.4,50
1718345891946,90.45,100
1718345892036,90.35,150
1718345893213,90.1,125
1718345894012,90.45,25
1718345894196,90.65,125
1718345894994,90.25,125
1718345895328,90.35,75
1718345895992,90.1,1525
1718345896104,90.1,125
1718345896840,90.15,75
1718345898121,90.25,25
1718345899098,90.35,25
1718345899764,90.2,25
1718345900232,90.15,25
1718345900912,90.1,50
1718345901213,90.15,25
1718345902018,90.45,450
1718345902018,90.45,450
1718345903119,90.4,50
1718345904084,90.5,25
1718345904868,90.5,25
1718345905129,90.8,25
1718345906092,90.85,25
1718345906191,90.85,25
1718345906960,90.95,75
1718345906960,90.95,75
1718345908120,90.95,50
1718345908427,91.0,75
1718345908997,90.75,50
1718345910046,90.9,25
1718345911090,90.9,250
1718345911231,91.05,75
1718345911894,91.1,25
1718345912416,91.0,25
1718345913064,90.8,25
1718345914061,90.85,25
1718345914108,90.7,25
1718345915120,90.25,100
1718345915278,90.2,25
1718345916110,90.3,25
1718345916301,90.35,25
1718345916932,89.65,25
1718345916932,89.65,25
1718345918091,89.5,125
1718345919062,89.5,100
1718345920011,89.4,100
1718345920100,89.6,25
1718345921103,89.55,25
1718345921245,89.75,25
1718345921916,89.95,100
1718345922220,89.9,25
1718345923056,89.9,75
1718345923228,90.0,25
1718345923975,90.2,25
1718345924082,90.35,50
1718345925013,90.3,125
1718345926059,90.5,50
1718345926059,90.5,50
1718345927103,90.45,50
1718345927910,90.45,150
1718345928433,90.45,25
1718345929065,90.4,50
1718345929139,90.35,200
1718345930050,90.4,75
1718345930050,90.4,75
1718345931026,90.45,25
1718345931026,90.45,25
1718345931975,90.5,25
1718345931975,90.5,25
1718345933108,90.1,100
1718345933108,90.1,100
1718345934030,90.5,375
1718345934499,90.25,25
1718345934945,90.25,25
1718345934945,90.25,25
1718345935838,90.5,25
1718345935838,90.5,25
1718345936962,90.55,25
1718345937106,90.3,25
1718345938113,90.4,25
1718345938259,90.4,25
1718345939127,90.1,150
1718345939453,90.25,225
1718345940110,90.15,100
1718345941145,90.2,25
1718345942001,90.3,25
1718345942198,90.2,25
1718345943141,90.2,125
1718345944120,91.3,100
1718345945004,90.9,50
1718345945274,90.95,75
1718345946001,91.15,25
1718345946217,91.15,125
1718345946874,91.45,50
1718345947182,91.35,100
1718345948095,91.5,1625
1718345948095,91.5,1625
1718345949117,91.35,75
1718345950003,91.4,25
1718345951030,91.3,200
1718345951276,91.1,175
1718345951824,90.95,200
1718345952725,91.0,25
1718345953001,90.65,25
1718345954020,90.45,25
1718345954020,90.45,25
1718345955015,90.65,25
1718345956106,90.45,25
1718345956748,90.35,25
1718345957269,90.3,25
1718345958157,90.4,200
1718345959151,90.3,150
1718345959151,90.3,150
1718345960101,90.35,25
1718345960289,90.35,25
1718345961046,90.25,25
1718345961216,90.35,25
1718345961768,90.35,25
1718345963057,90.4,25
1718345963275,90.45,100
1718345964001,90.4,25
1718345964341,90.45,25
1718345965127,90.5,25
1718345965381,90.7,25
1718345966109,90.65,50
1718345966342,90.45,50
1718345966849,90.1,25
1718345967268,90.25,25
1718345968067,90.35,25
1718345969124,90.25,25
1718345969124,90.25,25
1718345970121,90.05,75
1718345970340,89.85,25
1718345971002,89.85,25
1718345971468,90.0,75
1718345972086,89.85,100
1718345973162,89.6,300
1718345973269,89.8,25
1718345973813,89.8,100
1718345974234,89.85,50
1718345974792,90.0,25
1718345975343,89.9,100
1718345976148,90.0,25
1718345976918,89.8,50
1718345977943,90.0,50
1718345979129,89.65,75
1718345979193,89.85,50
1718345979983,89.85,100
1718345980368,89.75,175
1718345981084,89.8,50
1718345981536,89.75,25
1718345981629,89.7,25
1718345982719,89.5,1425
1718345983661,89.7,150
1718345985132,89.8,25
1718345986007,90.05,25
1718345986233,90.1,25
1718345986894,89.9,25
1718345987390,90.15,25
1718345988126,90.3,25
1718345988550,90.3,75
1718345989115,90.25,25
1718345990166,90.6,25
1718345990201,90.55,100
1718345991169,90.95,75
1718345991719,90.95,200
1718345993007,91.1,50
1718345994176,91.3,25
1718345995138,91.3,25
1718345995138,91.3,25
1718345996318,91.15,50
1718345997066,91.3,25
1718345997481,91.4,25
1718345998012,91.0,200
1718345999152,91.05,75
1718345999380,90.95,25
1718346000064,90.7,25
1718346000064,90.7,25
1718346001135,90.2,25
1718346001503,90.25,25
1718346001503,90.25,25
1718346003183,90.05,50
1718346003951,90.3,25
1718346005161,90.1,75
1718346005392,90.15,175
1718346006111,89.8,25
1718346006397,89.85,25
1718346006973,89.65,25
1718346006973,89.65,25
1718346008035,89.65,50
1718346008996,89.8,25
1718346010127,89.9,50
1718346011016,89.75,25
1718346011321,89.7,25
1718346012164,89.75,25
1718346012191,89.8,75
1718346012928,89.8,325
1718346013380,89.9,25
1718346014081,90.05,50
1718346014595,90.15,75
1718346014800,90.1,100
1718346015555,90.05,1000
1718346016810,90.1,25
1718346018174,90.4,100
1718346018359,90.35,75
1718346019062,90.4,25
1718346019543,90.55,25
1718346020177,90.55,25
1718346021068,90.7,25
1718346021381,90.6,50
1718346021971,90.35,25
1718346021971,90.35,25
1718346022802,90.65,25
1718346023345,89.9,25
1718346023969,90.0,25
1718346024445,89.95,25
1718346025013,89.95,25
1718346026210,90.15,125
1718346026706,90.05,75
1718346026706,90.05,75
1718346027716,90.1,125
1718346028485,89.8,25
1718346029042,89.7,50
1718346029536,89.85,100
1718346030029,89.9,25
1718346030205,90.0,25
1718346031062,89.9,275
1718346031062,89.9,275
1718346031971,90.15,275
1718346033209,89.9,25
1718346033904,90.2,75
1718346034398,90.1,25
1718346034647,89.9,50
1718346035564,90.2,50
1718346036198,89.95,25
1718346036987,89.95,400
1718346036987,89.95,400
1718346038165,90.15,25
1718346039124,90.25,25
1718346039938,90.0,50
1718346039938,90.0,50
1718346041181,90.35,25
1718346041354,90.1,25
1718346041904,90.4,25
1718346042360,90.35,50
1718346043104,90.15,25
1718346043469,90.4,25
1718346044081,90.2,25
1718346044653,90.3,25
1718346044854,90.5,300
1718346046182,90.55,50
1718346046182,90.55,50
1718346047025,90.55,25
1718346048171,90.45,75
1718346048960,90.6,50
1718346048960,90.6,50
1718346050273,90.4,25
1718346050839,90.55,175
1718346051406,90.7,100
1718346051406,90.7,100
1718346052669,90.7,50
1718346053052,90.8,25
1718346053772,90.55,25
1718346055042,90.6,175
1718346055042,90.6,175
1718346055938,90.45,25
1718346055938,90.45,25
1718346056980,90.85,50
1718346057315,90.8,25
1718346058064,90.8,125
1718346058509,90.8,25
1718346059220,90.6,25
1718346060041,90.8,75
1718346060282,90.8,25
1718346061044,90.8,25
1718346061423,90.75,175
1718346062096,90.6,25
1718346062676,90.8,50
1718346063174,90.75,950
1718346063174,90.75,950
1718346064226,90.45,50
1718346064260,90.45,100
1718346064801,90.4,25
1718346064801,90.4,25
1718346066021,90.55,50
1718346066497,90.45,50
1718346067400,90.35,25
1718346068222,89.95,75
1718346068660,90.1,25
1718346068865,90.1,100
1718346070212,90.35,75
1718346070212,90.35,75
1718346071185,90.35,100
1718346071185,90.35,100
1718346071849,90.4,125
1718346073230,90.3,50
1718346073407,90.3,50
1718346074028,90.4,25
1718346074028,90.4,25
1718346075217,90.25,25
1718346075549,90.4,25
1718346076144,90.45,25
1718346076144,90.45,25
1718346077205,90.05,450
1718346077205,90.05,450
1718346078114,90.4,25
1718346078114,90.4,25
1718346079094,90.3,50
1718346079500,90.5,25
1718346080211,90.35,25
1718346080282,90.35,125
1718346081052,90.65,25
1718346081774,90.55,50
1718346081774,90.55,50
1718346083159,90.65,75
1718346083159,90.65,75
1718346084169,90.5,50
1718346084379,90.55,25
1718346084708,90.5,25
1718346085260,90.75,125
1718346085929,91.0,25
1718346086609,91.0,25
1718346086609,91.0,25
1718346087872,90.95,50
1718346089070,90.8,25
1718346089534,90.8,25
1718346090065,90.85,50
1718346090065,90.85,50
1718346090674,91.0,125
1718346090674,91.0,125
1718346091678,91.0,75
1718346092174,91.0,25
1718346092174,91.0,25
1718346093283,90.8,75
1718346094233,90.9,25
1718346094233,90.9,25
1718346095229,90.65,100
1718346095229,90.65,100
1718346096105,90.8,275
1718346096474,90.75,25
1718346096902,90.6,25
1718346096902,90.6,25
1718346098182,90.8,25
1718346098571,90.85,25
1718346099134,90.8,75
1718346099134,90.8,75
1718346100315,90.9,1125
1718346101039,90.9,125
1718346101294,90.85,25
1718346102066,90.8,25
1718346102066,90.8,25
1718346102541,90.9,25
1718346102541,90.9,25
1718346104018,90.9,25
1718346104397,91.0,50
1718346105129,91.0,25
1718346105637,91.0,25
1718346106298,91.0,25
1718346106659,91.05,75
1718346106659,91.05,75
1718346108256,91.2,25
1718346108403,91.05,25
1718346109236,91.05,25
1718346109568,91.2,25
1718346110225,91.25,450
1718346110543,91.15,25
1718346110879,91.25,25
1718346111691,91.25,50
1718346111691,91.25,50
1718346113183,90.9,225
1718346113388,91.1,25
1718346114212,91.35,50
1718346114286,91.35,25
1718346115128,91.2,25
1718346115525,91.25,25
1718346115914,91.15,25
1718346116407,91.2,50
1718346116993,91.4,25
1718346117280,91.25,25
1718346117948,91.4,50
1718346117948,91.4,50
1718346119212,91.4,225
1718346119212,91.4,225
1718346119634,91.45,50
1718346119634,91.45,50
1718346120418,91.35,125
1718346121124,91.45,50
1718346121573,91.1,150
1718346122184,91.15,25
1718346122184,91.15,25
1718346123237,91.5,150
1718346123573,91.7,150
1718346124384,91.85,25
1718346125234,91.85,50
1718346125536,91.75,100
1718346126219,91.8,25
1718346126713,91.65,75
1718346126937,91.75,25
1718346126937,91.75,25
1718346128227,91.5,50
1718346128227,91.5,50
1718346129206,91.35,25
1718346129482,91.55,50
1718346129782,91.55,100
1718346130589,91.4,25
1718346130832,91.25,25
1718346131333,91.15,25
1718346131808,91.25,25
1718346131808,91.25,25
1718346133099,91.05,25
1718346133099,91.05,25
1718346134003,91.25,25
1718346134654,91.25,25
1718346135103,91.25,175
1718346135276,91.25,25
1718346136213,91.45,50
1718346136213,91.45,50
1718346137069,91.55,25
1718346137069,91.55,25
1718346138032,91.55,25
1718346138368,91.45,25
1718346139059,91.4,25
1718346139567,91.45,50
1718346140001,91.45,25
1718346140620,91.4,25
1718346141093,91.5,25
