,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,40.0,2024-07-01 09:15:00,NFO,04-JUL-2024,40.0,40.0,40.0,758500,Options,Put,NIFTY,23650.0,50
1,40.0,2024-07-01 09:15:00,NFO,04-JUL-2024,40.0,40.0,40.0,758500,Options,Put,NIFTY,23650.0,50
2,30.85,2024-07-01 09:15:01,NFO,04-JUL-2024,30.85,30.85,30.85,758500,Options,Put,NIFTY,23650.0,0
3,32.5,2024-07-01 09:15:02,NFO,04-JUL-2024,32.5,32.5,32.5,758500,Options,Put,NIFTY,23650.0,600
4,33.4,2024-07-01 09:15:03,NFO,04-JUL-2024,33.4,33.4,33.4,758500,Options,Put,NIFTY,23650.0,2475
5,33.25,2024-07-01 09:15:05,NFO,04-JUL-2024,33.25,33.25,33.25,758500,Options,Put,NIFTY,23650.0,775
6,31.3,2024-07-01 09:15:06,NFO,04-JUL-2024,31.3,31.3,31.3,758500,Options,Put,NIFTY,23650.0,0
7,30.5,2024-07-01 09:15:07,NFO,04-JUL-2024,30.5,30.5,30.5,758500,Options,Put,NIFTY,23650.0,3800
8,31.9,2024-07-01 09:15:08,NFO,04-JUL-2024,31.9,31.9,31.9,758500,Options,Put,NIFTY,23650.0,0
9,32.2,2024-07-01 09:15:14,NFO,04-JUL-2024,32.2,32.2,32.2,758500,Options,Put,NIFTY,23650.0,15650
10,30.75,2024-07-01 09:15:18,NFO,04-JUL-2024,30.75,30.75,30.75,758500,Options,Put,NIFTY,23650.0,0
11,31.95,2024-07-01 09:15:21,NFO,04-JUL-2024,31.95,31.95,31.95,761625,Options,Put,NIFTY,23650.0,12700
12,32.5,2024-07-01 09:15:23,NFO,04-JUL-2024,32.5,32.5,32.5,761625,Options,Put,NIFTY,23650.0,0
13,33.5,2024-07-01 09:15:24,NFO,04-JUL-2024,33.85,33.5,33.85,761625,Options,Put,NIFTY,23650.0,3550
14,33.6,2024-07-01 09:15:25,NFO,04-JUL-2024,33.6,33.6,33.6,761625,Options,Put,NIFTY,23650.0,0
15,33.7,2024-07-01 09:15:26,NFO,04-JUL-2024,33.7,33.7,33.7,761625,Options,Put,NIFTY,23650.0,1450
16,33.4,2024-07-01 09:15:28,NFO,04-JUL-2024,33.4,33.4,33.4,761625,Options,Put,NIFTY,23650.0,0
17,33.5,2024-07-01 09:15:29,NFO,04-JUL-2024,33.5,33.5,33.5,761625,Options,Put,NIFTY,23650.0,7200
18,34.0,2024-07-01 09:15:30,NFO,04-JUL-2024,34.0,34.0,34.0,761625,Options,Put,NIFTY,23650.0,1125
19,34.5,2024-07-01 09:15:31,NFO,04-JUL-2024,34.5,34.45,34.45,761625,Options,Put,NIFTY,23650.0,275
20,34.25,2024-07-01 09:15:32,NFO,04-JUL-2024,34.25,34.25,34.25,761625,Options,Put,NIFTY,23650.0,0
21,34.45,2024-07-01 09:15:33,NFO,04-JUL-2024,34.45,34.1,34.1,761625,Options,Put,NIFTY,23650.0,2000
22,34.45,2024-07-01 09:15:34,NFO,04-JUL-2024,34.45,34.45,34.45,761625,Options,Put,NIFTY,23650.0,0
23,34.0,2024-07-01 09:15:35,NFO,04-JUL-2024,34.0,34.0,34.0,761625,Options,Put,NIFTY,23650.0,0
24,33.9,2024-07-01 09:15:37,NFO,04-JUL-2024,33.9,33.9,33.9,761625,Options,Put,NIFTY,23650.0,6575
25,33.25,2024-07-01 09:15:38,NFO,04-JUL-2024,33.6,33.25,33.6,761625,Options,Put,NIFTY,23650.0,250
26,32.65,2024-07-01 09:15:39,NFO,04-JUL-2024,32.8,32.65,32.8,761625,Options,Put,NIFTY,23650.0,2775
27,33.1,2024-07-01 09:15:40,NFO,04-JUL-2024,33.1,33.1,33.1,761625,Options,Put,NIFTY,23650.0,0
28,33.15,2024-07-01 09:15:41,NFO,04-JUL-2024,33.15,33.15,33.15,761625,Options,Put,NIFTY,23650.0,3525
29,33.45,2024-07-01 09:15:42,NFO,04-JUL-2024,33.45,33.45,33.45,761625,Options,Put,NIFTY,23650.0,0
30,32.55,2024-07-01 09:15:43,NFO,04-JUL-2024,32.65,32.55,32.65,761625,Options,Put,NIFTY,23650.0,6275
31,32.75,2024-07-01 09:15:44,NFO,04-JUL-2024,32.75,32.75,32.75,761625,Options,Put,NIFTY,23650.0,0
32,32.2,2024-07-01 09:15:47,NFO,04-JUL-2024,32.4,32.2,32.4,761625,Options,Put,NIFTY,23650.0,2800
33,31.8,2024-07-01 09:15:48,NFO,04-JUL-2024,31.9,31.8,31.9,761625,Options,Put,NIFTY,23650.0,1575
34,31.55,2024-07-01 09:15:49,NFO,04-JUL-2024,31.55,31.55,31.55,761625,Options,Put,NIFTY,23650.0,5850
35,31.6,2024-07-01 09:15:50,NFO,04-JUL-2024,31.6,31.6,31.6,761625,Options,Put,NIFTY,23650.0,5225
36,30.5,2024-07-01 09:15:51,NFO,04-JUL-2024,30.5,30.5,30.5,761625,Options,Put,NIFTY,23650.0,0
37,29.55,2024-07-01 09:15:52,NFO,04-JUL-2024,30.0,29.55,30.0,761625,Options,Put,NIFTY,23650.0,19850
38,29.35,2024-07-01 09:15:53,NFO,04-JUL-2024,29.35,29.35,29.35,761625,Options,Put,NIFTY,23650.0,0
39,29.05,2024-07-01 09:15:54,NFO,04-JUL-2024,29.05,29.05,29.05,761625,Options,Put,NIFTY,23650.0,0
40,29.35,2024-07-01 09:15:55,NFO,04-JUL-2024,29.35,28.55,28.55,761625,Options,Put,NIFTY,23650.0,11550
41,29.95,2024-07-01 09:15:56,NFO,04-JUL-2024,29.95,29.95,29.95,761625,Options,Put,NIFTY,23650.0,0
42,30.0,2024-07-01 09:15:57,NFO,04-JUL-2024,30.0,30.0,30.0,761625,Options,Put,NIFTY,23650.0,0
43,29.85,2024-07-01 09:15:58,NFO,04-JUL-2024,29.85,29.65,29.65,761625,Options,Put,NIFTY,23650.0,5325
44,29.9,2024-07-01 09:15:59,NFO,04-JUL-2024,29.9,29.65,29.65,761625,Options,Put,NIFTY,23650.0,2025
45,29.45,2024-07-01 09:16:00,NFO,04-JUL-2024,29.45,29.45,29.45,761625,Options,Put,NIFTY,23650.0,0
46,29.05,2024-07-01 09:16:01,NFO,04-JUL-2024,29.05,29.05,29.05,761625,Options,Put,NIFTY,23650.0,8100
47,29.75,2024-07-01 09:16:02,NFO,04-JUL-2024,29.75,29.75,29.75,761625,Options,Put,NIFTY,23650.0,0
