,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,311.0,2024-07-03 09:15:00,NFO,04-JUL-2024,311.0,298.0,298.0,444700,Options,Call,NIFTY,23950.0,50
1,311.0,2024-07-03 09:15:00,NFO,04-JUL-2024,311.0,298.0,298.0,444700,Options,Call,NIFTY,23950.0,50
2,297.85,2024-07-03 09:15:01,NFO,04-JUL-2024,297.85,297.85,297.85,444700,Options,Call,NIFTY,23950.0,0
3,310.25,2024-07-03 09:15:02,NFO,04-JUL-2024,310.25,298.2,298.2,444700,Options,Call,NIFTY,23950.0,1550
4,290.95,2024-07-03 09:15:03,NFO,04-JUL-2024,290.95,287.15,287.15,444700,Options,Call,NIFTY,23950.0,1050
5,288.9,2024-07-03 09:15:04,NFO,04-JUL-2024,307.55,288.9,307.55,444700,Options,Call,NIFTY,23950.0,100
6,279.0,2024-07-03 09:15:06,NFO,04-JUL-2024,287.65,277.85,277.85,444700,Options,Call,NIFTY,23950.0,3925
7,287.25,2024-07-03 09:15:07,NFO,04-JUL-2024,287.6,287.25,287.6,444700,Options,Call,NIFTY,23950.0,1325
8,289.6,2024-07-03 09:15:08,NFO,04-JUL-2024,289.6,289.6,289.6,444700,Options,Call,NIFTY,23950.0,400
9,275.9,2024-07-03 09:15:09,NFO,04-JUL-2024,282.5,275.9,282.5,444700,Options,Call,NIFTY,23950.0,775
10,286.25,2024-07-03 09:15:10,NFO,04-JUL-2024,286.25,286.25,286.25,444700,Options,Call,NIFTY,23950.0,0
11,283.25,2024-07-03 09:15:11,NFO,04-JUL-2024,283.25,283.25,283.25,444700,Options,Call,NIFTY,23950.0,0
12,280.4,2024-07-03 09:15:12,NFO,04-JUL-2024,283.25,280.4,283.25,444700,Options,Call,NIFTY,23950.0,1750
13,270.95,2024-07-03 09:15:14,NFO,04-JUL-2024,276.3,270.95,276.3,445700,Options,Call,NIFTY,23950.0,3900
14,276.1,2024-07-03 09:15:15,NFO,04-JUL-2024,276.1,270.1,270.1,445700,Options,Call,NIFTY,23950.0,1700
15,279.75,2024-07-03 09:15:16,NFO,04-JUL-2024,279.75,279.75,279.75,445700,Options,Call,NIFTY,23950.0,0
16,279.05,2024-07-03 09:15:17,NFO,04-JUL-2024,279.05,279.05,279.05,445700,Options,Call,NIFTY,23950.0,1525
17,278.55,2024-07-03 09:15:18,NFO,04-JUL-2024,278.85,278.55,278.85,445700,Options,Call,NIFTY,23950.0,1975
18,274.25,2024-07-03 09:15:19,NFO,04-JUL-2024,278.1,274.25,278.1,445700,Options,Call,NIFTY,23950.0,2950
19,273.05,2024-07-03 09:15:20,NFO,04-JUL-2024,274.45,273.05,274.45,445700,Options,Call,NIFTY,23950.0,100
20,281.2,2024-07-03 09:15:22,NFO,04-JUL-2024,281.35,281.2,281.35,445700,Options,Call,NIFTY,23950.0,900
21,278.0,2024-07-03 09:15:23,NFO,04-JUL-2024,278.6,278.0,278.6,445700,Options,Call,NIFTY,23950.0,600
22,278.0,2024-07-03 09:15:24,NFO,04-JUL-2024,278.0,278.0,278.0,445700,Options,Call,NIFTY,23950.0,325
23,279.15,2024-07-03 09:15:25,NFO,04-JUL-2024,279.15,279.15,279.15,445700,Options,Call,NIFTY,23950.0,0
24,282.0,2024-07-03 09:15:26,NFO,04-JUL-2024,282.0,281.45,281.45,445700,Options,Call,NIFTY,23950.0,1950
25,282.3,2024-07-03 09:15:27,NFO,04-JUL-2024,282.3,282.3,282.3,445700,Options,Call,NIFTY,23950.0,0
26,282.9,2024-07-03 09:15:28,NFO,04-JUL-2024,282.9,282.5,282.5,445700,Options,Call,NIFTY,23950.0,1275
27,286.0,2024-07-03 09:15:29,NFO,04-JUL-2024,286.0,282.9,282.9,445700,Options,Call,NIFTY,23950.0,350
28,284.9,2024-07-03 09:15:30,NFO,04-JUL-2024,286.0,284.9,286.0,445700,Options,Call,NIFTY,23950.0,1300
29,282.9,2024-07-03 09:15:31,NFO,04-JUL-2024,282.9,282.9,282.9,445700,Options,Call,NIFTY,23950.0,0
30,282.3,2024-07-03 09:15:32,NFO,04-JUL-2024,282.3,282.3,282.3,445700,Options,Call,NIFTY,23950.0,0
31,285.0,2024-07-03 09:15:33,NFO,04-JUL-2024,285.0,285.0,285.0,445700,Options,Call,NIFTY,23950.0,525
32,285.2,2024-07-03 09:15:35,NFO,04-JUL-2024,286.1,285.2,286.1,445700,Options,Call,NIFTY,23950.0,1375
33,283.5,2024-07-03 09:15:36,NFO,04-JUL-2024,283.5,283.5,283.5,445700,Options,Call,NIFTY,23950.0,675
34,284.35,2024-07-03 09:15:37,NFO,04-JUL-2024,284.75,284.35,284.75,445700,Options,Call,NIFTY,23950.0,25
35,284.55,2024-07-03 09:15:38,NFO,04-JUL-2024,284.55,284.55,284.55,445700,Options,Call,NIFTY,23950.0,0
36,285.95,2024-07-03 09:15:39,NFO,04-JUL-2024,285.95,285.95,285.95,445700,Options,Call,NIFTY,23950.0,0
37,284.55,2024-07-03 09:15:40,NFO,04-JUL-2024,285.95,284.55,285.95,445700,Options,Call,NIFTY,23950.0,100
38,284.6,2024-07-03 09:15:41,NFO,04-JUL-2024,284.6,284.6,284.6,445700,Options,Call,NIFTY,23950.0,0
