,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,63.4,2024-07-03 09:15:00,NFO,04-JUL-2024,66.4,63.4,66.4,1882375,Options,Put,NIFTY,24200.0,0
1,63.4,2024-07-03 09:15:00,NFO,04-JUL-2024,66.4,63.4,66.4,1882375,Options,Put,NIFTY,24200.0,0
2,71.55,2024-07-03 09:15:01,NFO,04-JUL-2024,71.55,71.55,71.55,1882375,Options,Put,NIFTY,24200.0,0
3,76.7,2024-07-03 09:15:02,NFO,04-JUL-2024,76.7,76.7,76.7,1882375,Options,Put,NIFTY,24200.0,0
4,74.7,2024-07-03 09:15:03,NFO,04-JUL-2024,74.7,74.7,74.7,1882375,Options,Put,NIFTY,24200.0,0
5,82.85,2024-07-03 09:15:04,NFO,04-JUL-2024,82.85,82.85,82.85,1882375,Options,Put,NIFTY,24200.0,205675
6,86.4,2024-07-03 09:15:05,NFO,04-JUL-2024,86.4,86.4,86.4,1882375,Options,Put,NIFTY,24200.0,0
7,86.05,2024-07-03 09:15:06,NFO,04-JUL-2024,86.05,86.05,86.05,1882375,Options,Put,NIFTY,24200.0,0
8,79.6,2024-07-03 09:15:10,NFO,04-JUL-2024,83.6,79.6,83.6,1882375,Options,Put,NIFTY,24200.0,0
9,82.15,2024-07-03 09:15:11,NFO,04-JUL-2024,82.15,82.15,82.15,1882375,Options,Put,NIFTY,24200.0,0
10,83.55,2024-07-03 09:15:12,NFO,04-JUL-2024,83.55,83.55,83.55,1882375,Options,Put,NIFTY,24200.0,0
11,84.9,2024-07-03 09:15:13,NFO,04-JUL-2024,84.9,84.9,84.9,1882375,Options,Put,NIFTY,24200.0,0
12,88.65,2024-07-03 09:15:15,NFO,04-JUL-2024,88.65,88.65,88.65,1882375,Options,Put,NIFTY,24200.0,0
13,88.15,2024-07-03 09:15:17,NFO,04-JUL-2024,88.15,88.15,88.15,1882375,Options,Put,NIFTY,24200.0,0
14,88.65,2024-07-03 09:15:18,NFO,04-JUL-2024,88.65,88.65,88.65,1882375,Options,Put,NIFTY,24200.0,0
15,91.05,2024-07-03 09:15:19,NFO,04-JUL-2024,91.05,89.5,89.5,1882375,Options,Put,NIFTY,24200.0,447800
16,91.9,2024-07-03 09:15:20,NFO,04-JUL-2024,91.9,91.9,91.9,1882375,Options,Put,NIFTY,24200.0,0
17,89.55,2024-07-03 09:15:21,NFO,04-JUL-2024,89.55,89.55,89.55,1882375,Options,Put,NIFTY,24200.0,0
18,89.4,2024-07-03 09:15:22,NFO,04-JUL-2024,89.4,89.4,89.4,1882375,Options,Put,NIFTY,24200.0,84825
19,89.8,2024-07-03 09:15:23,NFO,04-JUL-2024,89.8,89.8,89.8,2110500,Options,Put,NIFTY,24200.0,0
20,89.8,2024-07-03 09:15:24,NFO,04-JUL-2024,89.8,89.8,89.8,2110500,Options,Put,NIFTY,24200.0,0
21,88.45,2024-07-03 09:15:26,NFO,04-JUL-2024,88.45,88.4,88.4,2110500,Options,Put,NIFTY,24200.0,123900
22,87.7,2024-07-03 09:15:27,NFO,04-JUL-2024,87.7,87.7,87.7,2110500,Options,Put,NIFTY,24200.0,0
23,85.75,2024-07-03 09:15:31,NFO,04-JUL-2024,85.75,85.3,85.3,2110500,Options,Put,NIFTY,24200.0,135350
24,83.85,2024-07-03 09:15:34,NFO,04-JUL-2024,83.85,83.45,83.45,2110500,Options,Put,NIFTY,24200.0,68600
25,83.6,2024-07-03 09:15:35,NFO,04-JUL-2024,84.4,83.6,84.4,2110500,Options,Put,NIFTY,24200.0,19075
26,85.5,2024-07-03 09:15:36,NFO,04-JUL-2024,85.5,85.35,85.35,2110500,Options,Put,NIFTY,24200.0,41425
27,84.0,2024-07-03 09:15:37,NFO,04-JUL-2024,85.6,84.0,85.6,2110500,Options,Put,NIFTY,24200.0,15550
28,84.1,2024-07-03 09:15:38,NFO,04-JUL-2024,84.1,84.1,84.1,2110500,Options,Put,NIFTY,24200.0,30975
29,84.2,2024-07-03 09:15:40,NFO,04-JUL-2024,84.2,83.5,83.5,2110500,Options,Put,NIFTY,24200.0,49525
30,83.3,2024-07-03 09:15:41,NFO,04-JUL-2024,83.3,83.3,83.3,2110500,Options,Put,NIFTY,24200.0,20175
31,83.05,2024-07-03 09:15:44,NFO,04-JUL-2024,83.05,83.05,83.05,2110500,Options,Put,NIFTY,24200.0,0
32,82.85,2024-07-03 09:15:46,NFO,04-JUL-2024,82.85,82.85,82.85,2110500,Options,Put,NIFTY,24200.0,101525
33,81.25,2024-07-03 09:15:50,NFO,04-JUL-2024,81.25,81.0,81.0,2110500,Options,Put,NIFTY,24200.0,55025
34,82.0,2024-07-03 09:15:51,NFO,04-JUL-2024,82.0,82.0,82.0,2110500,Options,Put,NIFTY,24200.0,30600
