name,avg_return,avg_volatility,len,interval,period
ARIHANTCAP,0.1445,3.1499,246,1d,1y
ARIHANTSUP,0.211,3.119,246,1d,1y
ARMANFIN,0.1253,2.7032,245,1d,1y
AROGRANITE,0.1279,3.0347,246,1d,1y
ARROWGREEN,0.1634,3.5492,245,1d,1y
ARSHIYA,0.0719,2.966,245,1d,1y
ARSSINFRA,-0.0253,2.7112,245,1d,1y
ARTEMISMED,0.3979,3.0012,230,1d,1y
ARTNIRMAN,0.0598,3.3864,245,1d,1y
ARVEE,0.346,4.2233,246,1d,1y
ARVIND,0.4683,2.7603,246,1d,1y
ARVINDFASN,0.1927,2.2187,246,1d,1y
ARVSMART,0.3227,2.8166,246,1d,1y
ASAHIINDIA,0.0873,1.9989,246,1d,1y
ASAHISONG,0.167,2.538,246,1d,1y
ASAL,0.3597,3.3697,245,1d,1y
ASALCBR,0.1568,2.2143,246,1d,1y
ASHAPURMIN,0.387,3.4315,246,1d,1y
ASHIANA,0.2648,2.5316,246,1d,1y
ASHIMASYN,0.1331,3.496,246,1d,1y
ASHOKA,0.2883,2.9339,246,1d,1y
ASHOKAMET,0.0896,4.0264,194,1d,1y
ASHOKLEY,0.1047,1.3337,246,1d,1y
ASIANENE,0.4298,2.7424,245,1d,1y
ASIANHOTNR,-0.0375,2.7344,245,1d,1y
ASIANPAINT,0.0064,1.0479,246,1d,1y
ASIANTILES,0.1648,2.9511,246,1d,1y
ASKAUTOLTD,0.0092,2.2835,99,1d,1y
ASMS,0.5697,1.989,246,1d,1y
ASPINWALL,0.104,3.519,246,1d,1y
ASTEC,-0.0219,2.1535,245,1d,1y
ASTERDM,0.2747,2.5529,246,1d,1y
ASTRAL,0.1241,1.5649,246,1d,1y
ASTRAMICRO,0.3819,2.5463,246,1d,1y
ASTRAZEN,0.2052,2.2215,245,1d,1y
ASTRON,-0.0072,2.8273,245,1d,1y
ATALREAL,-0.0654,3.3825,245,1d,1y
ATAM,0.0056,3.1596,229,1d,1y
ATFL,-0.0642,2.5326,246,1d,1y
ATGL,0.0149,3.3012,246,1d,1y
ATL,0.1732,4.13,163,1d,1y
