time,ltp,volume
2024-06-21 13:34:55.431,151.15,75
2024-06-21 13:34:56.338,151.0,25
2024-06-21 13:34:56.407,150.95,50
2024-06-21 13:34:56.991,151.1,75
2024-06-21 13:34:56.991,151.1,75
2024-06-21 13:34:57.992,151.3,25
2024-06-21 13:34:59.467,151.25,25
2024-06-21 13:34:59.467,151.25,25
2024-06-21 13:34:59.683,151.5,50
2024-06-21 13:35:00.141,150.95,25
2024-06-21 13:35:00.417,151.15,25
2024-06-21 13:35:00.898,151.3,25
2024-06-21 13:35:01.443,151.9,425
2024-06-21 13:35:01.938,152.2,75
2024-06-21 13:35:02.266,152.05,100
2024-06-21 13:35:02.746,151.6,75
2024-06-21 13:35:03.366,151.9,50
2024-06-21 13:35:04.164,151.6,50
2024-06-21 13:35:04.318,151.35,200
2024-06-21 13:35:04.910,151.7,25
2024-06-21 13:35:05.387,151.95,25
2024-06-21 13:35:05.941,151.95,50
2024-06-21 13:35:06.415,151.75,25
2024-06-21 13:35:06.928,151.7,50
2024-06-21 13:35:07.456,151.6,875
2024-06-21 13:35:08.004,151.15,25
2024-06-21 13:35:08.004,151.15,25
2024-06-21 13:35:09.076,151.3,25
2024-06-21 13:35:09.449,151.25,25
2024-06-21 13:35:10.348,150.45,100
2024-06-21 13:35:10.460,150.5,25
2024-06-21 13:35:11.000,151.0,50
2024-06-21 13:35:11.500,151.1,25
2024-06-21 13:35:12.280,151.05,100
2024-06-21 13:35:12.280,151.05,100
2024-06-21 13:35:12.878,151.0,225
2024-06-21 13:35:13.311,151.1,25
2024-06-21 13:35:14.479,150.9,25
2024-06-21 13:35:14.571,150.7,100
2024-06-21 13:35:14.971,150.45,100
2024-06-21 13:35:15.433,150.55,25
2024-06-21 13:35:15.938,150.45,25
2024-06-21 13:35:16.453,150.45,50
2024-06-21 13:35:16.733,150.15,25
2024-06-21 13:35:16.733,150.15,25
2024-06-21 13:35:17.745,150.3,25
2024-06-21 13:35:18.313,150.15,25
2024-06-21 13:35:18.952,149.6,150
2024-06-21 13:35:19.472,149.65,75
2024-06-21 13:35:19.969,149.0,25
2024-06-21 13:35:20.354,148.95,50
2024-06-21 13:35:20.857,148.8,25
2024-06-21 13:35:21.440,149.35,75
2024-06-21 13:35:21.970,149.45,250
2024-06-21 13:35:22.437,149.15,25
2024-06-21 13:35:22.679,149.5,175
2024-06-21 13:35:23.419,149.65,50
