name,avg_return,avg_volatility,len,interval,period
ARCHIDPLY,0.0152,0.4402,1930,1m,7d
ARCHIES,0.0093,0.9208,546,1m,7d
ARE&M,0.0038,0.1371,2621,1m,7d
ARENTERP,0.0132,1.7279,234,1m,7d
ARIES,-0.0032,0.2264,1625,1m,7d
ARIHANTCAP,-0.003,0.2874,1367,1m,7d
ARIHANTSUP,0.0008,0.5328,893,1m,7d
ARMANFIN,0.0009,0.2019,1760,1m,7d
AROGRANITE,0.0161,0.4979,624,1m,7d
ARROWGREEN,0.0031,0.2912,1291,1m,7d
ARSHIYA,0.006,0.8672,835,1m,7d
ARSSINFRA,0.0486,1.3794,281,1m,7d
ARTEMISMED,0.0009,0.2691,1601,1m,7d
ARTNIRMAN,0.0925,1.0881,85,1m,7d
ARVEE,0.0795,1.1009,771,1m,7d
ARVIND,0.003,0.1564,2557,1m,7d
ARVINDFASN,-0.0006,0.1374,2510,1m,7d
ARVSMART,-0.0056,0.2141,1921,1m,7d
ASAHIINDIA,0.002,0.1686,2331,1m,7d
ASAHISONG,0.0026,0.4203,814,1m,7d
ASAL,0.0109,0.3044,2346,1m,7d
ASALCBR,0.0049,0.1848,1762,1m,7d
ASHAPURMIN,0.0001,0.4976,1649,1m,7d
ASHIANA,0.0039,0.2841,1671,1m,7d
ASHIMASYN,-0.0006,0.3499,1314,1m,7d
ASHOKA,0.0002,0.1163,2606,1m,7d
ASHOKAMET,0.0014,0.4858,183,1m,7d
ASHOKLEY,0.0013,0.0751,2621,1m,7d
ASIANENE,0.0029,0.4013,1001,1m,7d
ASIANHOTNR,0.1991,0.7611,37,1m,7d
ASIANPAINT,-0.0,0.0565,2622,1m,7d
ASIANTILES,-0.0015,0.1836,2040,1m,7d
ASKAUTOLTD,0.0043,0.1484,2374,1m,7d
ASMS,0.0296,0.2339,380,1m,7d
ASPINWALL,-0.0016,0.4435,684,1m,7d
ASTEC,0.0083,0.2505,1985,1m,7d
ASTERDM,0.0067,0.2333,2620,1m,7d
