Close,datetime,exchange_code,High,Low,Open,stock_code,Volume
22614.1,2024-05-23 09:09:00,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:01,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:02,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:03,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:04,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:05,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:06,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:07,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:08,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:09,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:10,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:11,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:12,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:13,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:14,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:15,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:16,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:17,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:18,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:19,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:20,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:21,NSE,22614.1,22614.1,22614.1,NIFTY,0
22614.1,2024-05-23 09:09:22,NSE,22614.1,22614.1,22614.1,NIFTY,0
