Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
94.85,2024-05-23 09:15:00,NFO,30-MAY-2024,94.85,94.85,94.85,2183025,Options,Call,NIFTY,22800.0,525
94.85,2024-05-23 09:15:00,NFO,30-MAY-2024,94.85,94.85,94.85,2183025,Options,Call,NIFTY,22800.0,525
103.3,2024-05-23 09:15:01,NFO,30-MAY-2024,103.3,103.3,103.3,2183025,Options,Call,NIFTY,22800.0,0
100.0,2024-05-23 09:15:04,NFO,30-MAY-2024,100.0,100.0,100.0,2183025,Options,Call,NIFTY,22800.0,0
101.2,2024-05-23 09:15:05,NFO,30-MAY-2024,101.2,101.2,101.2,2183025,Options,Call,NIFTY,22800.0,6775
102.85,2024-05-23 09:15:06,NFO,30-MAY-2024,102.85,102.85,102.85,2183025,Options,Call,NIFTY,22800.0,0
102.25,2024-05-23 09:15:07,NFO,30-MAY-2024,102.25,102.25,102.25,2183025,Options,Call,NIFTY,22800.0,2850
102.8,2024-05-23 09:15:08,NFO,30-MAY-2024,102.8,102.8,102.8,2183025,Options,Call,NIFTY,22800.0,0
103.1,2024-05-23 09:15:09,NFO,30-MAY-2024,103.1,103.1,103.1,2183025,Options,Call,NIFTY,22800.0,1275
100.1,2024-05-23 09:15:10,NFO,30-MAY-2024,100.1,100.1,100.1,2183025,Options,Call,NIFTY,22800.0,3125
98.55,2024-05-23 09:15:12,NFO,30-MAY-2024,100.1,98.55,100.1,2183025,Options,Call,NIFTY,22800.0,3000
97.25,2024-05-23 09:15:13,NFO,30-MAY-2024,97.25,97.25,97.25,2183025,Options,Call,NIFTY,22800.0,0
98.65,2024-05-23 09:15:15,NFO,30-MAY-2024,98.65,98.65,98.65,2183025,Options,Call,NIFTY,22800.0,0
99.65,2024-05-23 09:15:19,NFO,30-MAY-2024,99.65,99.65,99.65,2183025,Options,Call,NIFTY,22800.0,0
97.8,2024-05-23 09:15:22,NFO,30-MAY-2024,97.8,97.2,97.2,2183025,Options,Call,NIFTY,22800.0,21100
98.6,2024-05-23 09:15:27,NFO,30-MAY-2024,98.6,98.6,98.6,2183025,Options,Call,NIFTY,22800.0,9550
98.3,2024-05-23 09:15:28,NFO,30-MAY-2024,98.5,98.3,98.5,2189425,Options,Call,NIFTY,22800.0,0
98.0,2024-05-23 09:15:32,NFO,30-MAY-2024,98.0,98.0,98.0,2189425,Options,Call,NIFTY,22800.0,11900
98.0,2024-05-23 09:15:34,NFO,30-MAY-2024,98.0,98.0,98.0,2189425,Options,Call,NIFTY,22800.0,0
97.3,2024-05-23 09:15:35,NFO,30-MAY-2024,97.3,97.3,97.3,2189425,Options,Call,NIFTY,22800.0,7100
97.55,2024-05-23 09:15:37,NFO,30-MAY-2024,97.55,97.55,97.55,2189425,Options,Call,NIFTY,22800.0,2075
96.7,2024-05-23 09:15:38,NFO,30-MAY-2024,96.7,96.7,96.7,2189425,Options,Call,NIFTY,22800.0,0
98.6,2024-05-23 09:15:39,NFO,30-MAY-2024,98.6,97.5,97.5,2189425,Options,Call,NIFTY,22800.0,3975
98.65,2024-05-23 09:15:40,NFO,30-MAY-2024,98.65,98.65,98.65,2189425,Options,Call,NIFTY,22800.0,800
