Close,datetime,exchange_code,High,Low,Open,stock_code,Volume
22617.45,2024-05-30 09:09:00,NSE,22617.45,22617.45,22617.45,NIFTY,0
22617.45,2024-05-30 09:10:00,NSE,22617.45,22617.45,22617.45,NIFTY,0
22617.45,2024-05-30 09:11:00,NSE,22617.45,22617.45,22617.45,NIFTY,0
22617.45,2024-05-30 09:12:00,NSE,22617.45,22617.45,22617.45,NIFTY,0
22617.45,2024-05-30 09:13:00,NSE,22617.45,22617.45,22617.45,NIFTY,0
22617.45,2024-05-30 09:14:00,NSE,22617.45,22617.45,22617.45,NIFTY,0
22653.9,2024-05-30 09:15:00,NSE,22674.2,22635.2,22635.2,NIFTY,0
22640.05,2024-05-30 09:16:00,NSE,22651.8,22637.45,22651.3,NIFTY,0
22647.45,2024-05-30 09:17:00,NSE,22652.4,22635.5,22635.95,NIFTY,0
22670.3,2024-05-30 09:18:00,NSE,22670.3,22641.95,22645.15,NIFTY,0
22684.0,2024-05-30 09:19:00,NSE,22688.55,22667.75,22671.25,NIFTY,0
22696.2,2024-05-30 09:20:00,NSE,22704.85,22684.45,22684.45,NIFTY,0
22678.4,2024-05-30 09:21:00,NSE,22701.05,22674.4,22695.95,NIFTY,0
22670.3,2024-05-30 09:22:00,NSE,22678.2,22657.2,22677.85,NIFTY,0
22657.5,2024-05-30 09:23:00,NSE,22671.35,22652.8,22669.8,NIFTY,0
22668.35,2024-05-30 09:24:00,NSE,22668.95,22649.55,22657.3,NIFTY,0
22654.9,2024-05-30 09:25:00,NSE,22667.1,22648.95,22665.5,NIFTY,0
22644.85,2024-05-30 09:26:00,NSE,22659.6,22643.35,22655.6,NIFTY,0
22631.8,2024-05-30 09:27:00,NSE,22650.55,22631.0,22644.6,NIFTY,0
22635.1,2024-05-30 09:28:00,NSE,22643.15,22627.45,22630.55,NIFTY,0
22641.75,2024-05-30 09:29:00,NSE,22641.75,22628.1,22635.25,NIFTY,0
22635.3,2024-05-30 09:30:00,NSE,22646.9,22632.9,22642.6,NIFTY,0
22639.3,2024-05-30 09:31:00,NSE,22647.95,22634.5,22634.5,NIFTY,0
22643.2,2024-05-30 09:32:00,NSE,22648.55,22636.3,22638.8,NIFTY,0
22642.6,2024-05-30 09:33:00,NSE,22645.15,22621.4,22643.55,NIFTY,0
22628.25,2024-05-30 09:34:00,NSE,22644.4,22628.25,22642.35,NIFTY,0
22631.6,2024-05-30 09:35:00,NSE,22638.3,22624.7,22625.7,NIFTY,0
22617.25,2024-05-30 09:36:00,NSE,22634.5,22616.5,22631.85,NIFTY,0
22613.45,2024-05-30 09:37:00,NSE,22617.9,22604.05,22616.05,NIFTY,0
22613.35,2024-05-30 09:38:00,NSE,22613.35,22604.1,22610.95,NIFTY,0
22606.7,2024-05-30 09:39:00,NSE,22617.4,22603.5,22613.1,NIFTY,0
22607.0,2024-05-30 09:40:00,NSE,22614.5,22603.4,22608.15,NIFTY,0
22597.15,2024-05-30 09:41:00,NSE,22610.6,22591.35,22607.65,NIFTY,0
22598.6,2024-05-30 09:42:00,NSE,22600.95,22590.85,22596.3,NIFTY,0
22603.05,2024-05-30 09:43:00,NSE,22608.15,22599.15,22599.15,NIFTY,0
22608.3,2024-05-30 09:44:00,NSE,22610.25,22602.55,22604.3,NIFTY,0
22611.4,2024-05-30 09:45:00,NSE,22618.6,22605.5,22608.1,NIFTY,0
22596.2,2024-05-30 09:46:00,NSE,22609.85,22593.25,22609.6,NIFTY,0
22612.8,2024-05-30 09:47:00,NSE,22613.5,22597.1,22597.1,NIFTY,0
22604.15,2024-05-30 09:48:00,NSE,22613.45,22599.3,22613.45,NIFTY,0
22589.65,2024-05-30 09:49:00,NSE,22603.95,22587.8,22603.3,NIFTY,0
22599.3,2024-05-30 09:50:00,NSE,22599.8,22586.4,22589.4,NIFTY,0
22593.95,2024-05-30 09:51:00,NSE,22599.7,22586.5,22599.7,NIFTY,0
22591.35,2024-05-30 09:52:00,NSE,22597.5,22588.6,22594.15,NIFTY,0
22591.1,2024-05-30 09:53:00,NSE,22597.4,22581.5,22591.8,NIFTY,0
22597.9,2024-05-30 09:54:00,NSE,22597.9,22590.95,22591.45,NIFTY,0
22602.0,2024-05-30 09:55:00,NSE,22606.1,22596.1,22597.9,NIFTY,0
22600.25,2024-05-30 09:56:00,NSE,22603.25,22595.8,22601.4,NIFTY,0
22590.55,2024-05-30 09:57:00,NSE,22600.2,22590.55,22598.9,NIFTY,0
22582.35,2024-05-30 09:58:00,NSE,22594.1,22581.05,22590.55,NIFTY,0
22589.85,2024-05-30 09:59:00,NSE,22592.9,22581.2,22581.9,NIFTY,0
22593.65,2024-05-30 10:00:00,NSE,22594.65,22588.65,22590.8,NIFTY,0
22588.0,2024-05-30 10:01:00,NSE,22596.55,22587.15,22593.95,NIFTY,0
22596.0,2024-05-30 10:02:00,NSE,22596.25,22585.15,22587.05,NIFTY,0
22585.7,2024-05-30 10:03:00,NSE,22596.65,22577.75,22595.5,NIFTY,0
